,Unit No.,Tower Name,Status,Last Contract End Date,Days Vacant,Last Known Rent,Sale Date (if any)
6,2612,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-14,294.0,110000,
271,5901,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-20,288.0,150000,
136,4301,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-21,287.0,115000,
214,5111,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-26,282.0,125000,
24,2807,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-31,277.0,145000,
42,3005,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-31,277.0,115000,
180,4801,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-31,277.0,130000,
211,5108,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-08-31,277.0,350000,
293,6211,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-03,274.0,140000,
142,4310,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-04,273.0,120000,
187,4812,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-04,273.0,80000,
219,5205,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-04,273.0,145000,
43,3006,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-11,266.0,150000,
70,3404,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-14,263.0,165000,
131,4203,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-14,263.0,190000,
71,3408,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-15,262.0,165000,
34,2907,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-17,260.0,150000,
81,3505,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-18,259.0,150000,
125,4110,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-18,259.0,130000,
281,5913,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-19,258.0,110000,
174,4706,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-21,256.0,220000,
251,5605,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-22,255.0,130000,
56,3207,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-29,248.0,170000,
140,4305,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-29,248.0,125000,
7,2614,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-09-30,247.0,125000,
17,2714,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-02,245.0,135500,
148,4404,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-02,245.0,150000,
89,3605,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-04,243.0,140000,
133,4205,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-04,243.0,145000,
164,4603,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-04,243.0,131250,
90,3606,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-06,241.0,145000,
83,3508,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-09,238.0,216000,
51,3111,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-14,233.0,115000,
122,4105,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-15,232.0,155000,
170,4701,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-16,231.0,170000,
3,2606,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-18,229.0,143000,
192,4909,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-18,229.0,130000,
189,4904,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-19,228.0,136500,
67,3312,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-20,227.0,185000,
207,5103,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-21,226.0,140000,
25,2808,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-30,217.0,125000,
46,3013,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-30,217.0,135000,
79,3503,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-31,216.0,170000,
202,5010,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-10-31,216.0,130000,
64,3304,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-02,214.0,150000,
92,3609,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-03,213.0,135000,
132,4204,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-03,213.0,140000,
52,3113,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-06,210.0,160000,
279,5910,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-06,210.0,148500,
45,3011,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-08,208.0,148500,
76,3413,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-10,206.0,130000,
288,6103,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-26,190.0,192000,
112,4002,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-30,186.0,175000,
278,5909,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-11-30,186.0,145000,
227,5303,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-12-01,185.0,180000,
246,5510,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-12-14,172.0,165000,
145,4313,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-12-18,168.0,23000,
196,5001,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-12-19,167.0,157000,
247,5511,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2024-12-20,166.0,165000,
23,2806,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2025-01-03,152.0,170000,
32,2904,"Paramount Tower Hotel & Residences, Business Bay",Vacant (For sale or Possibly Owner-Occupied),2025-01-04,151.0,170000,
